Suburb,Address,Rooms,Type,Price,Method,agentName,Date,Distance,Postcode,Bathroom,parkingSpot,Landsize,BuildingArea,YearBuilt,CouncilArea,Lattitude,Longtitude,Regionname,Propertycount,hasGarden,hasSwimmingPool,hasFence,propertyId,isLandCleared,numberOfSharedWalls,numberOfLevels,underConstruction,agentId,buyerName,buyerId,gender,age,floorLevel,hasBalcony,transactionId,hasElevator
Abbotsford,48 Abbotsford St,3,h,1447500,PI,Nelson,22/08/2016,2.5,3067,3,1,166,174,2012,Yarra City Council,-37.8017,145.0001,Northern Metropolitan,4019,TRUE,TRUE,TRUE,13449,TRUE,0,0,FALSE,4,Tina Hernandez,49,M,74,0,FALSE,38,FALSE
Abbotsford,159 Park St,2,h,1135000,S,Nelson,22/08/2016,2.5,3067,2,2,98,128,1920,Yarra City Council,-37.8005,144.9952,Northern Metropolitan,4019,FALSE,FALSE,TRUE,28681,TRUE,0,0,FALSE,4,Charles Fox,51,F,51,0,TRUE,40,FALSE
Abbotsford,60 Stafford St,3,h,1290000,S,Biggin,25/02/2017,2.5,3067,1,1,168,124,1950,Yarra City Council,-37.8007,144.9958,Northern Metropolitan,4019,TRUE,FALSE,TRUE,2119,TRUE,0,0,FALSE,2,Callum Pearce,56,F,78,0,FALSE,45,FALSE
Abbotsford,47 Studley St,2,h,1180000,S,Jellis,27/11/2016,2.5,3067,1,0,162,91,1900,Yarra City Council,-37.8016,144.9956,Northern Metropolitan,4019,FALSE,FALSE,TRUE,18851,TRUE,0,0,FALSE,1,Richard Whitehead,58,F,40,0,FALSE,47,FALSE
Abbotsford,45 Yarra St,3,h,1195000,SP,Jellis,27/11/2016,2.5,3067,2,1,120,128,1998,Yarra City Council,-37.8022,144.9954,Northern Metropolitan,4019,FALSE,FALSE,TRUE,17483,TRUE,0,0,FALSE,1,John Mills,59,F,41,0,FALSE,48,FALSE
Abbotsford,200 Nicholson St,2,h,1012500,S,Nelson,28/05/2016,2.5,3067,1,0,182,82,1900,Yarra City Council,-37.8021,144.9976,Northern Metropolitan,4019,TRUE,FALSE,TRUE,5684,TRUE,0,0,FALSE,4,Michael Garcia,61,M,79,0,FALSE,49,FALSE
Abbotsford,27 Charles St,2,h,1030000,S,Biggin,30/07/2016,2.5,3067,1,1,172,81,1930,Yarra City Council,-37.8086,144.9946,Northern Metropolitan,4019,FALSE,TRUE,TRUE,26759,TRUE,0,0,FALSE,2,Annette Chapman,63,F,44,0,TRUE,51,FALSE
Abbotsford,132 Vere St,3,h,1000000,SP,Biggin,08/04/2017,2.5,3067,1,0,198,98,1900,Yarra City Council,-37.8025,144.9939,Northern Metropolitan,4019,TRUE,FALSE,TRUE,22955,TRUE,0,0,FALSE,2,Jill Shea,13788,F,38,2,FALSE,13345,FALSE
Abbotsford,24 Cooke St,2,h,1050000,S,Jellis,29/04/2017,2.5,3067,1,0,129,128,1890,Yarra City Council,-37.8099,145.0027,Northern Metropolitan,4019,FALSE,FALSE,TRUE,23378,TRUE,0,0,FALSE,1,Troy Smith,13794,F,77,1,TRUE,13352,FALSE
Abbotsford,198 Gipps St,2,h,1242000,S,Nelson,29/04/2017,2.5,3067,1,1,249,98,1940,Yarra City Council,-37.8052,144.9963,Northern Metropolitan,4019,TRUE,TRUE,FALSE,16990,TRUE,0,0,FALSE,4,Christopher Perez,13795,F,20,0,TRUE,13353,FALSE
Abbotsford,22 Lulie St,3,h,1165000,S,Jellis,29/04/2017,2.5,3067,2,0,92,114,1888,Yarra City Council,-37.797,144.9957,Northern Metropolitan,4019,TRUE,TRUE,TRUE,8988,TRUE,0,0,FALSE,1,Leonidia Vassiliou,13796,M,48,0,TRUE,13354,FALSE
Abbotsford,5/29 Church St,2,u,480000,S,hockingstuart,17/06/2017,3,3067,1,1,601,64,1970,Yarra City Council,-37.80915,145.00066,Northern Metropolitan,4019,TRUE,FALSE,FALSE,18722,TRUE,0,0,FALSE,14,Kimberly Johnson,15209,F,63,0,TRUE,14790,TRUE
Abbotsford,2 Federation La,3,h,855000,S,Nelson,24/06/2017,3,3067,2,1,92,116,2004,Yarra City Council,-37.79683,144.99586,Northern Metropolitan,4019,FALSE,TRUE,TRUE,23588,TRUE,0,0,FALSE,4,Mr. William Jones,15835,M,52,0,FALSE,15427,FALSE
Abbotsford,67 Yarra St,3,h,1402500,S,Jellis,27/05/2017,3,3067,1,1,270,101,1960,Yarra City Council,-37.8023,144.99615,Northern Metropolitan,4019,FALSE,FALSE,TRUE,11984,TRUE,0,0,FALSE,1,Christopher Miller,16426,M,60,0,FALSE,16035,FALSE
Abbotsford,143 Charles St,3,h,1635000,S,Nelson,12/08/2017,3,3067,1,0,142,130,1880,Yarra City Council,-37.80359,144.99538,Northern Metropolitan,4019,TRUE,FALSE,TRUE,27153,TRUE,0,0,FALSE,4,Craig Pierce,17591,F,90,0,FALSE,17233,FALSE
Abbotsford,133 Yarra St,2,h,1190000,S,Biggin,22/07/2017,3,3067,2,1,147,175,2000,Yarra City Council,-37.80269,145.0001,Northern Metropolitan,4019,FALSE,FALSE,TRUE,34251,TRUE,0,0,FALSE,2,James Golden,18528,M,38,0,TRUE,18201,FALSE
Abbotsford,60 Charles St,3,h,1370000,S,Jellis,7/10/2017,3,3067,1,,192,109,1900,Yarra City Council,-37.80792,144.99508,Northern Metropolitan,4019,FALSE,FALSE,TRUE,19054,TRUE,0,0,FALSE,1,Efthimios Climamis,23114,F,45,0,TRUE,22945,FALSE
Abbotsford,38 Studley St,3,h,1240000,S,Nelson,7/10/2017,3,3067,1,1,159,93,1890,Yarra City Council,-37.80124,144.99459,Northern Metropolitan,4019,FALSE,FALSE,TRUE,19742,TRUE,0,0,FALSE,4,Sharon Harris,23116,F,24,0,TRUE,22947,FALSE
Abbotsford,44 Lulie St,2,h,970000,S,Nelson,9/12/2017,3,3067,1,,105,85,1890,Yarra City Council,-37.79644,144.99578,Northern Metropolitan,4019,FALSE,FALSE,TRUE,15507,TRUE,0,0,FALSE,4,Dr Edward Mills,29279,M,82,5,TRUE,29404,FALSE
Abbotsford,31 Park St,3,h,1200000,S,Biggin,17/02/2018,3,3067,1,1,211,93,1970,Yarra City Council,-37.80864,144.99386,Northern Metropolitan,4019,FALSE,FALSE,TRUE,30833,TRUE,0,0,FALSE,2,Matthew Gough,31588,M,66,0,FALSE,31833,FALSE
Aberfeldie,40 Clifton St,4,h,1646000,S,Rendina,04/03/2017,9.1,3040,3,2,757,157,1950,Moonee Valley City Council,-37.7606,144.8909,Western Metropolitan,1543,TRUE,TRUE,FALSE,19693,TRUE,0,0,FALSE,20,Julie White-Nelson,10892,F,81,0,TRUE,10388,FALSE
Aberfeldie,8/257 Buckley St,2,u,470000,S,Brad,07/05/2016,9.1,3040,1,1,976,71,2000,Moonee Valley City Council,-37.7557,144.9037,Western Metropolitan,1543,TRUE,FALSE,FALSE,1063,TRUE,0,3,FALSE,15,Charlene Russo,10895,F,31,0,TRUE,10391,TRUE
Aberfeldie,21 May St,4,h,1346000,S,Nelson,8/10/2016,9.1,3040,2,2,559,204,1995,Moonee Valley City Council,-37.7614,144.8925,Western Metropolitan,1543,TRUE,FALSE,TRUE,1749,TRUE,0,0,FALSE,4,Brittany Davis,10897,F,78,0,FALSE,10393,FALSE
Aberfeldie,2/30 Caroline St,3,t,935000,SP,Nelson,10/09/2016,9.1,3040,2,2,217,149,2005,Moonee Valley City Council,-37.7591,144.8923,Western Metropolitan,1543,FALSE,FALSE,FALSE,6071,TRUE,2,0,FALSE,4,Fakhruddin Tabin,10899,F,58,0,TRUE,10395,FALSE
Aberfeldie,126 The Boulevard,4,h,3900000,S,Nelson,10/12/2016,9.1,3040,4,4,670,375,2010,Moonee Valley City Council,-37.7637,144.8931,Western Metropolitan,1543,FALSE,FALSE,TRUE,4024,TRUE,0,0,FALSE,4,July Giannis Timini Dacky,10902,F,68,0,TRUE,10398,FALSE
Aberfeldie,5 Aroona Ct,1,h,1720000,PI,Nelson,15/10/2016,9.1,3040,2,1,676,136,1965,Moonee Valley City Council,-37.7632,144.898,Western Metropolitan,1543,TRUE,FALSE,FALSE,4487,TRUE,0,0,FALSE,4,Amanis Vahaethianakis,10564,M,51,0,TRUE,10401,FALSE
Aberfeldie,25 Beaver St,2,h,1705000,S,Nelson,15/10/2016,9.1,3040,1,2,809,131,1980,Moonee Valley City Council,-37.7587,144.9015,Western Metropolitan,1543,FALSE,FALSE,TRUE,10473,TRUE,0,0,FALSE,4,Brian Mcgee,10905,M,30,2,TRUE,10402,FALSE
Aberfeldie,4 Brunel Ct,3,h,1190000,S,Barry,17/09/2016,9.1,3040,1,1,465,115,1950,Moonee Valley City Council,-37.7626,144.8954,Western Metropolitan,1543,TRUE,TRUE,TRUE,8992,TRUE,0,0,FALSE,17,Miss Tala Abu Shalabk,10906,M,60,0,FALSE,10403,FALSE
Aberfeldie,29 Beaver St,5,h,1740000,S,Nelson,18/06/2016,9.1,3040,3,2,839,247,1925,Moonee Valley City Council,-37.759,144.9015,Western Metropolitan,1543,FALSE,FALSE,TRUE,32227,TRUE,0,0,FALSE,4,Connie Moore,10909,M,89,0,FALSE,10406,FALSE
Aberfeldie,1 Chisholm St,3,u,726000,S,Barry,24/09/2016,9.1,3040,1,1,229,111,1996,Moonee Valley City Council,-37.7606,144.8973,Western Metropolitan,1543,FALSE,FALSE,FALSE,6508,TRUE,0,0,FALSE,17,Sally Brookes,10915,M,57,0,FALSE,10412,FALSE
Aberfeldie,11 Muldowney St,3,t,1300000,SP,Barry,25/02/2017,9.1,3040,3,1,593,205,2016,Moonee Valley City Council,-37.7584,144.8968,Western Metropolitan,1543,FALSE,FALSE,FALSE,27179,TRUE,2,0,FALSE,17,Francis Porter,10917,M,49,0,TRUE,10414,FALSE
Aberfeldie,47 Clifton St,4,h,1350000,S,Nelson,28/05/2016,9.1,3040,2,2,1076,180,1960,Moonee Valley City Council,-37.7609,144.8905,Western Metropolitan,1543,TRUE,FALSE,TRUE,24414,TRUE,0,0,FALSE,4,Jessica Lewis,10922,F,71,0,FALSE,10419,FALSE
Aberfeldie,2/65 Clifton St,3,h,1300000,S,Nelson,08/04/2017,9.1,3040,3,2,240,240,2013,Moonee Valley City Council,-37.762,144.8916,Western Metropolitan,1543,FALSE,TRUE,TRUE,17730,TRUE,0,0,FALSE,4,Theresa Huff,11966,F,30,0,FALSE,11489,FALSE
Aberfeldie,2 Derry St,4,h,1740000,PI,Nelson,29/04/2017,9.1,3040,2,2,746,161,1950,Moonee Valley City Council,-37.7595,144.8993,Western Metropolitan,1543,FALSE,FALSE,FALSE,3433,TRUE,0,0,FALSE,4,Spencer Richards,11970,F,33,0,TRUE,11493,FALSE
Aberfeldie,5 Rita St,5,h,2905000,S,Rendina,27/05/2017,7.5,3040,3,2,557,364,2010,Moonee Valley City Council,-37.76181,144.89327,Western Metropolitan,1543,FALSE,FALSE,TRUE,21228,TRUE,0,0,FALSE,20,Jessica Barnes,16427,M,62,0,FALSE,16036,FALSE
Aberfeldie,5 Aroona Ct,3,h,1680000,SP,Raine,22/07/2017,7.5,3040,2,2,673,136,1965,Moonee Valley City Council,-37.76316,144.89799,Western Metropolitan,1543,TRUE,FALSE,FALSE,21249,TRUE,0,0,FALSE,56,Ann Banks,18531,M,85,0,TRUE,18204,FALSE
Aberfeldie,1 Alma St,4,h,1436000,S,Brad,03/09/2017,7.5,3040,3,3,511,187,1922,Moonee Valley City Council,-37.75788,144.90487,Western Metropolitan,1543,TRUE,FALSE,TRUE,20638,TRUE,0,0,FALSE,15,Becky Riley,19445,F,22,0,FALSE,19138,FALSE
Aberfeldie,13 Valencia St,4,h,1650000,SP,Barry,16/09/2017,7.5,3040,2,1,484,186,1950,Moonee Valley City Council,-37.7609,144.89886,Western Metropolitan,1543,TRUE,FALSE,TRUE,20649,TRUE,0,0,FALSE,17,Diamond Hart,20581,M,27,0,FALSE,20306,FALSE
Aberfeldie,10 Caroline St,5,h,1830000,S,Rendina,23/09/2017,7.5,3040,4,4,730,373,2014,Moonee Valley City Council,-37.7595,144.89427,Western Metropolitan,1543,TRUE,FALSE,TRUE,7491,TRUE,0,0,FALSE,20,Herbert Gonzalez,21790,F,54,0,TRUE,21559,FALSE
Aberfeldie,22 Aberfeldie St,4,h,2600000,S,Nelson,21/10/2017,7.5,3040,2,4,923,228,1925,Moonee Valley City Council,-37.75923,144.90527,Western Metropolitan,1543,TRUE,FALSE,FALSE,33076,TRUE,0,1,FALSE,4,Matthew Wallace,24338,M,64,0,FALSE,24216,FALSE
Aberfeldie,1A Vida St,3,t,1150000,S,Barry,11/11/2017,7.5,3040,2,1,224,193,2013,Moonee Valley City Council,-37.7556,144.899,Western Metropolitan,1543,FALSE,FALSE,FALSE,29310,TRUE,2,3,FALSE,17,Justin Herrera,26162,F,61,0,FALSE,26122,FALSE
Aberfeldie,2 Knight St,5,h,1825000,VB,Nelson,18/11/2017,7.5,3040,2,2,691,301,1925,Moonee Valley City Council,-37.756,144.9002,Western Metropolitan,1543,FALSE,FALSE,TRUE,7176,TRUE,0,0,FALSE,4,Diogenis Katherdakis,26853,F,67,0,FALSE,26848,FALSE
Airport West,154 Halsey Rd,3,t,840000,PI,Nelson,03/09/2016,13.5,3042,2,1,303,225,2016,Moonee Valley City Council,-37.718,144.878,Western Metropolitan,3464,FALSE,FALSE,FALSE,27021,TRUE,2,1,FALSE,4,Joshua Parks,66,M,63,5,FALSE,53,FALSE
Airport West,23 Hart St,2,h,603000,S,Nelson,04/03/2017,13.5,3042,1,1,272,84,1950,Moonee Valley City Council,-37.7294,144.888,Western Metropolitan,3464,FALSE,FALSE,TRUE,30530,TRUE,0,0,FALSE,4,Mr Gerard Ashton,70,F,67,0,FALSE,56,FALSE
Airport West,1/80 Hawker St,3,t,700000,S,Brad,04/03/2017,13.5,3042,2,2,239,134,2009,Moonee Valley City Council,-37.7218,144.8837,Western Metropolitan,3464,TRUE,FALSE,FALSE,20577,TRUE,2,0,FALSE,15,Jonathan Wood,71,M,48,0,TRUE,57,FALSE
Airport West,1/37 Hillside Gr,3,h,600000,S,Maddison,04/03/2017,13.5,3042,1,1,290,116,1980,Moonee Valley City Council,-37.7273,144.8744,Western Metropolitan,3464,FALSE,FALSE,TRUE,28149,TRUE,0,0,FALSE,16,Jessica Mcdaniel,72,F,24,0,FALSE,58,FALSE
Airport West,2/49 McIntosh St,2,u,500000,VB,Barry,04/03/2017,13.5,3042,1,1,168,86,2011,Moonee Valley City Council,-37.7215,144.8864,Western Metropolitan,3464,TRUE,FALSE,FALSE,8051,TRUE,0,0,FALSE,17,Ashley Callahan,73,F,86,2,TRUE,59,FALSE
Airport West,36 Roberts Rd,4,h,785000,S,Considine,06/08/2016,13.5,3042,1,2,597,127,,Moonee Valley City Council,-37.7259,144.8792,Western Metropolitan,3464,FALSE,FALSE,TRUE,17158,TRUE,0,3,FALSE,19,Kayleigh Pearson,80,F,69,5,TRUE,66,FALSE
Airport West,2/252 Parer Rd,2,t,450000,S,Barry,07/05/2016,13.5,3042,1,1,110,90,2015,Moonee Valley City Council,-37.7216,144.871,Western Metropolitan,3464,TRUE,FALSE,FALSE,3616,TRUE,2,0,FALSE,17,Andrew Parks,82,M,41,2,TRUE,68,FALSE
Airport West,3/19 Hart St,2,u,515000,S,Barry,7/11/2016,13.5,3042,1,1,141,73,2013,Moonee Valley City Council,-37.7298,144.8883,Western Metropolitan,3464,TRUE,FALSE,FALSE,33198,TRUE,0,0,FALSE,17,Asclepius-Christus Asimosopoulos,83,M,43,0,TRUE,69,FALSE
Airport West,2/62 Clydesdale Rd,2,u,530000,S,Nelson,10/09/2016,13.5,3042,1,1,120,94,2012,Moonee Valley City Council,-37.7234,144.8792,Western Metropolitan,3464,TRUE,FALSE,FALSE,3967,TRUE,0,0,FALSE,4,Lindsay Miller,85,M,76,0,FALSE,71,FALSE
Airport West,1/43 Cameron St,3,u,752000,S,Nelson,11/02/2017,13.5,3042,1,1,265,130,1993,Moonee Valley City Council,-37.7302,144.8855,Western Metropolitan,3464,FALSE,FALSE,FALSE,3950,TRUE,0,0,FALSE,4,Jeffrey Reed,90,F,66,0,TRUE,76,FALSE
Airport West,2/40 Earl St,3,t,700000,PI,Brad,15/10/2016,13.5,3042,2,2,165,133,2009,Moonee Valley City Council,-37.727,144.887,Western Metropolitan,3464,FALSE,FALSE,FALSE,29034,TRUE,2,0,FALSE,15,Christopher Joyce,98,M,81,0,TRUE,84,FALSE
Airport West,180 Parer Rd,3,h,830000,S,Barry,16/04/2016,13.5,3042,1,2,971,113,1960,Moonee Valley City Council,-37.7186,144.876,Western Metropolitan,3464,TRUE,FALSE,TRUE,21378,TRUE,0,0,FALSE,17,Zacharias Psogiannopoulos,100,M,28,0,FALSE,86,FALSE
Airport West,174 Parer Rd,2,h,675000,S,Barry,16/07/2016,13.5,3042,1,1,612,100,1975,Moonee Valley City Council,-37.7187,144.8765,Western Metropolitan,3464,FALSE,TRUE,TRUE,16668,TRUE,0,0,FALSE,17,Adam Cunningham,103,M,25,0,TRUE,89,FALSE
Airport West,6 Kittyhawk St,4,h,773000,S,Brad,17/09/2016,13.5,3042,3,4,531,309,1980,Moonee Valley City Council,-37.7263,144.8679,Western Metropolitan,3464,FALSE,FALSE,TRUE,4309,TRUE,0,0,FALSE,15,Denise Hernandez,106,M,42,0,FALSE,92,FALSE
Airport West,478 Fullarton Rd,3,h,810000,PI,Barry,18/03/2017,13.5,3042,3,2,555,192,1980,Moonee Valley City Council,-37.7285,144.8694,Western Metropolitan,3464,FALSE,FALSE,TRUE,11725,TRUE,0,1,FALSE,17,Dr. Dave Williams,108,M,82,0,TRUE,94,FALSE
Airport West,144 Marshall Rd,3,h,715000,S,Rendina,18/03/2017,13.5,3042,2,2,422,126,1995,Moonee Valley City Council,-37.7164,144.8792,Western Metropolitan,3464,TRUE,FALSE,FALSE,5141,TRUE,0,3,FALSE,20,Maria Olsen,109,M,35,5,TRUE,95,FALSE
Airport West,3/7 South Rd,3,t,540000,SP,Nelson,18/06/2016,13.5,3042,2,1,161,101,2010,Moonee Valley City Council,-37.7231,144.8802,Western Metropolitan,3464,TRUE,FALSE,FALSE,17453,TRUE,2,0,FALSE,4,Alexandra Brown,112,F,75,0,FALSE,98,FALSE
Airport West,37 North St,3,t,825000,SP,Barry,19/11/2016,13.5,3042,2,1,293,102,1960,Moonee Valley City Council,-37.72,144.8776,Western Metropolitan,3464,FALSE,FALSE,FALSE,22436,TRUE,2,0,FALSE,17,Katie Hunt-Cook,113,F,49,0,FALSE,99,FALSE
Airport West,10 Hilbert Rd,3,h,685000,S,Barry,22/05/2016,13.5,3042,1,1,579,113,1975,Moonee Valley City Council,-37.7226,144.8733,Western Metropolitan,3464,TRUE,TRUE,TRUE,25721,TRUE,0,0,FALSE,17,Allen Wright,114,F,54,0,TRUE,100,FALSE
Airport West,2/13 North St,2,u,510000,S,Nelson,22/08/2016,13.5,3042,1,1,141,76,,Moonee Valley City Council,-37.7202,144.8797,Western Metropolitan,3464,TRUE,FALSE,FALSE,17790,TRUE,0,0,FALSE,4,Ian Stevenson,117,F,21,1,FALSE,103,TRUE
Airport West,85 Roberts Rd,4,h,900000,S,Harcourts,27/11/2016,13.5,3042,2,3,628,146,1975,Moonee Valley City Council,-37.7256,144.8739,Western Metropolitan,3464,TRUE,FALSE,TRUE,10782,TRUE,0,0,FALSE,26,Brian Stokes,129,M,67,0,TRUE,114,FALSE
Airport West,33 Green St,3,h,720000,S,Brad,08/04/2017,13.5,3042,2,2,305,136,2008,Moonee Valley City Council,-37.7284,144.8874,Western Metropolitan,3464,FALSE,FALSE,FALSE,12302,TRUE,0,0,FALSE,15,Gabrielle Schultz,13798,M,43,0,TRUE,13356,FALSE
Airport West,67 Halsey Rd,3,h,510000,VB,Nelson,29/04/2017,13.5,3042,1,1,488,217,1960,Moonee Valley City Council,-37.7191,144.8857,Western Metropolitan,3464,FALSE,FALSE,TRUE,32410,TRUE,0,0,FALSE,4,Logan Perez,13802,F,56,0,FALSE,13360,FALSE
Airport West,2/80 Hawker St,2,u,480000,VB,Barry,29/04/2017,13.5,3042,1,1,128,92,2009,Moonee Valley City Council,-37.7216,144.8837,Western Metropolitan,3464,TRUE,FALSE,FALSE,16662,TRUE,0,1,FALSE,17,Jason Burgess,13803,F,47,0,TRUE,13361,TRUE
Airport West,118 Marshall Rd,3,h,640000,S,Nelson,01/07/2017,10.4,3042,1,2,219,101.37,1960,Moonee Valley City Council,-37.71655,144.88155,Western Metropolitan,3464,FALSE,FALSE,TRUE,22395,TRUE,0,0,FALSE,4,Gerakina Douloufaki,14062,M,45,8,TRUE,13622,FALSE
Airport West,18A Hart St,3,t,730000,S,Brad,17/06/2017,10.4,3042,1,2,242,124,2010,Moonee Valley City Council,-37.72893,144.88859,Western Metropolitan,3464,TRUE,FALSE,FALSE,6749,TRUE,1,2,FALSE,15,Savannah Ray,15212,F,41,0,FALSE,14793,FALSE
Airport West,163 Halsey Rd,2,h,650000,S,Prime,27/05/2017,10.4,3042,1,3,374,96,1950,Moonee Valley City Council,-37.71811,144.87693,Western Metropolitan,3464,TRUE,TRUE,TRUE,30460,TRUE,0,0,FALSE,284,Isidora-Terpsichori Dimitriou,16428,F,38,0,TRUE,16037,FALSE
Airport West,127A Parer Rd,3,t,856000,S,Barry,27/05/2017,10.4,3042,2,1,300,212,2011,Moonee Valley City Council,-37.71917,144.87819,Western Metropolitan,3464,FALSE,FALSE,FALSE,23607,TRUE,2,1,FALSE,17,Alexander Turner,16429,M,71,0,TRUE,16038,FALSE
Airport West,3/26 Highridge Cr,3,u,670000,S,Nelson,08/07/2017,10.4,3042,1,2,169,153,2000,Moonee Valley City Council,-37.72752,144.88358,Western Metropolitan,3464,FALSE,FALSE,FALSE,14079,TRUE,0,0,FALSE,4,Dr Bruce Harris,17173,M,35,0,TRUE,16807,FALSE
Airport West,10A Coniston Av,3,t,780000,S,RE,29/07/2017,10.4,3042,2,1,195,192,2005,Moonee Valley City Council,-37.7325,144.88272,Western Metropolitan,3464,TRUE,FALSE,FALSE,9426,TRUE,1,0,FALSE,136,Shawn Berg,18966,F,76,0,TRUE,18650,FALSE
Airport West,34 Green St,3,h,1000001,S,Nelson,09/09/2017,10.4,3042,2,1,697,163,2017,Moonee Valley City Council,-37.72812,144.88735,Western Metropolitan,3464,TRUE,FALSE,TRUE,10323,TRUE,0,0,FALSE,4,Shannon Long-Thompson,19995,F,27,0,TRUE,19706,FALSE
Airport West,16 Highridge Cr,3,h,850000,S,Brad,23/09/2017,10.4,3042,1,2,551,96,1950,Moonee Valley City Council,-37.72739,144.88235,Western Metropolitan,3464,FALSE,FALSE,TRUE,2332,TRUE,0,0,FALSE,15,Kenneth Salazar,21793,F,41,0,TRUE,21562,FALSE
Airport West,3 Chancellor Rd,3,h,730000,VB,Nelson,14/10/2017,10.4,3042,2,1,548,130,2017,Moonee Valley City Council,-37.72741,144.87919,Western Metropolitan,3464,FALSE,FALSE,FALSE,13080,TRUE,0,0,FALSE,4,Karam Al-Salihi,23683,F,51,0,FALSE,23544,FALSE
